AÑO,CCAA,KG RECOGIDOS,HABITANTES,GARBAGE CONTAINER
2003,BALEARES,26706734,915724,Blue
2003,CASTILLA Y LEON,29205915,1773143,Blue
2003,CASTILLA-LA MANCHA,16347613,1658533,Blue
2003,CANTABRIA,6887019,496110,Blue
2003,CATALUÑA,132121948,6502785,Blue
2003,COMUNIDAD VALENCIANA,48174402,3988096,Blue
2003,EXTREMADURA,2804576,644274,Blue
2003,GALICIA,22224531,2539567,Blue
2003,CANARIAS,11470934,1612599,Blue
2003,LA RIOJA,5112566,278093,Blue
2003,MADRID,114087417,5527152,Blue
2003,REGION DE MURCIA,11845416,1023343,Blue
2003,NAVARRA,11691513,537516,Blue
2003,PAIS VASCO,55924008,2027936,Blue
2004,CEUTA,0,0,Blue
2004,ANDALUCIA,70005202,7264426,Blue
2004,ARAGON,17896427,1128568,Blue
2004,ASTURIAS,21335726,1075381,Blue
2004,BALEARES,28222794,947361,Blue
2004,CASTILLA Y LEON,33292715,1818068,Blue
2004,CASTILLA-LA MANCHA,17941175,1705464,Blue
2004,CANTABRIA,7497681,503565,Blue
2004,CATALUÑA,136419812,6699771,Blue
2004,COMUNIDAD VALENCIANA,36309971,4221579,Blue
2004,EXTREMADURA,3195955,651200,Blue
2004,GALICIA,27679871,2601895,Blue
2004,CANARIAS,14239113,1752112,Blue
2004,LA RIOJA,5884871,285761,Blue
2004,MADRID,106512760,5718870,Blue
2004,REGION DE MURCIA,13497670,1129327,Blue
2004,NAVARRA,13974609,552645,Blue
2004,PAIS VASCO,61446036,2043129,Blue
2005,CEUTA,496087,74654,Blue
2005,MELILLA,41644,68016,Blue
2005,ANDALUCIA,82271924,7468663,Blue
2005,ARAGON,20544986,1151463,Blue
2005,ASTURIAS,22856840,1073761,Blue
2005,BALEARES,30504173,955045,Blue
2005,CASTILLA Y LEON,36699403,1889520,Blue
2005,CASTILLA-LA MANCHA,20081370,1738907,Blue
2005,CANTABRIA,9460717,522360,Blue
2005,CATALUÑA,171654272,6850434,Blue
2005,COMUNIDAD VALENCIANA,55518089,4361268,Blue
2005,EXTREMADURA,3741280,664357,Blue
2005,GALICIA,32114033,2691567,Blue
2005,CANARIAS,17276591,1766324,Blue
2005,LA RIOJA,6383902,292649,Blue
2005,MADRID,118815598,5804427,Blue
2005,REGION DE MURCIA,14340915,1238483,Blue
2005,NAVARRA,17937557,562302,Blue
2005,PAIS VASCO,67581695,2044227,Blue
2006,CEUTA,1713012,75276,Blue
2006,MELILLA,506552,65488,Blue
2006,ANDALUCIA,95909473,7607920,Blue
2006,ARAGON,24448607,1189422,Blue
2006,ASTURIAS,24179127,1076635,Blue
2006,BALEARES,34470495,1005401,Blue
2006,CASTILLA Y LEON,41896887,2019418,Blue
2006,CASTILLA-LA MANCHA,23112600,1817371,Blue
2006,CANTABRIA,11629798,530890,Blue
2006,CATALUÑA,192569829,6994231,Blue
2006,COMUNIDAD VALENCIANA,64767193,4554394,Blue
2006,EXTREMADURA,4897641,763650,Blue
2006,GALICIA,36015506,2733702,Blue
2006,CANARIAS,18988708,1832903,Blue
2006,LA RIOJA,7314460,300278,Blue
2006,MADRID,130178777,5964143,Blue
2006,REGION DE MURCIA,15963193,1285747,Blue
2006,NAVARRA,25546585,575754,Blue
2006,PAIS VASCO,71579343,2065360,Blue
2007,CEUTA,3283980,75861,Blue
2007,MELILLA,1962386,66871,Blue
2007,ANDALUCIA,108032136,7754426,Blue
2007,ARAGON,28690100,1223665,Blue
2007,ASTURIAS,25551862,1076896,Blue
2007,BALEARES,39900848,1001062,Blue
2007,CASTILLA Y LEON,50703541,2195416,Blue
2007,CASTILLA-LA MANCHA,28046134,1856665,Blue
2007,CANTABRIA,12704043,557332,Blue
2007,CATALUÑA,214719347,7128334,Blue
2007,COMUNIDAD VALENCIANA,72806579,4701153,Blue
2007,EXTREMADURA,7200016,842056,Blue
2007,GALICIA,38176950,2741032,Blue
2007,CANARIAS,22653907,1869263,Blue
2007,LA RIOJA,8459150,305521,Blue
2007,MADRID,139061399,6008183,Blue
2007,REGION DE MURCIA,17958943,1342166,Blue
2007,NAVARRA,29289242,591149,Blue
2007,PAIS VASCO,79248216,2123737,Blue
2008,CEUTA,2870460,76603,Blue
2008,MELILLA,2142430,69440,Blue
2008,ANDALUCIA,115673710,7854762,Blue
2008,ARAGON,31112423,1264177,Blue
2008,ASTURIAS,27318464,1074862,Blue
2008,BALEARES,40900732,1030650,Blue
2008,CASTILLA Y LEON,55296886,2284425,Blue
2008,CASTILLA-LA MANCHA,29495278,1902758,Blue
2008,CANTABRIA,13338464,572024,Blue
2008,CATALUÑA,217789188,7202564,Blue
2008,COMUNIDAD VALENCIANA,76987168,4786619,Blue
2008,EXTREMADURA,8540086,875978,Blue
2008,GALICIA,40617417,2746480,Blue
2008,CANARIAS,24946120,1946252,Blue
2008,LA RIOJA,9087796,308112,Blue
2008,MADRID,147688212,6081689,Blue
2008,REGION DE MURCIA,18837087,1370841,Blue
2008,NAVARRA,29818570,594839,Blue
2008,PAIS VASCO,81839702,2134766,Blue
2009,CEUTA,3000510,77389,Blue
2009,MELILLA,2102620,71448,Blue
2009,ANDALUCIA,112029913,7981807,Blue
2009,ARAGON,30993453,1299076,Blue
2009,ASTURIAS,25806104,1080138,Blue
2009,BALEARES,37043946,1072844,Blue
2009,CASTILLA Y LEON,53258116,2351351,Blue
2009,CASTILLA-LA MANCHA,29419008,1988772,Blue
2009,CANTABRIA,13104223,582056,Blue
2009,CATALUÑA,202624839,7335391,Blue
2009,COMUNIDAD VALENCIANA,73327923,4983806,Blue
2009,EXTREMADURA,8398342,940528,Blue
2009,GALICIA,38041689,2759592,Blue
2009,CANARIAS,24290146,1997630,Blue
2009,LA RIOJA,8745727,316651,Blue
2009,MADRID,147575088,6271638,Blue
2009,REGION DE MURCIA,18840103,1409138,Blue
2009,NAVARRA,29869385,608924,Blue
2009,PAIS VASCO,77842570,2149856,Blue
2010,ANDALUCIA,3671440,451479,Blue
2010,COMUNIDAD VALENCIANA,104160,11175,Blue
2010,COMUNIDAD VALENCIANA,279303,26874,Blue
2010,GALICIA,12565,3382,Blue
2010,GALICIA,4200,1106,Blue
2010,GALICIA,47500,5059,Blue
2010,GALICIA,116150,6120,Blue
2010,GALICIA,8740,2209,Blue
2010,GALICIA,59170,4423,Blue
2010,GALICIA,239160,17262,Blue
2010,GALICIA,16640,4230,Blue
2010,COMUNIDAD VALENCIANA,187756,18097,Blue
2010,GALICIA,9835,1405,Blue
2010,GALICIA,90380,13315,Blue
2010,GALICIA,326860,17807,Blue
2010,GALICIA,6310,1697,Blue
2010,GALICIA,5686,3464,Blue
2010,GALICIA,52890,6867,Blue
2010,GALICIA,6060,1382,Blue
2010,GALICIA,10275,2681,Blue
2010,COMUNIDAD VALENCIANA,374680,24121,Blue
2010,GALICIA,28720,4570,Blue
2010,GALICIA,375380,17315,Blue
2010,GALICIA,17614,3119,Blue
2010,GALICIA,117350,9293,Blue
2010,GALICIA,88160,8289,Blue
2010,COMUNIDAD VALENCIANA,49658,358,Blue
2010,GALICIA,11095,1585,Blue
2010,GALICIA,18090,4816,Blue
2010,GALICIA,154680,6570,Blue
2010,GALICIA,7360,1907,Blue
2010,GALICIA,2373,687,Blue
2010,GALICIA,4355,1144,Blue
2010,GALICIA,79870,4874,Blue
2010,GALICIA,21623,3089,Blue
2010,COMUNIDAD VALENCIANA,492780,22405,Blue
2010,GALICIA,216660,17475,Blue
2010,GALICIA,129660,8457,Blue
2010,GALICIA,64152,6302,Blue
2010,GALICIA,39100,6422,Blue
2010,GALICIA,357395,23172,Blue
2010,GALICIA,5335,1401,Blue
2010,COMUNIDAD VALENCIANA,223700,27135,Blue
2010,GALICIA,4340,3170,Blue
2010,GALICIA,15280,4590,Blue
2010,GALICIA,220570,14114,Blue
2010,GALICIA,7095,1870,Blue
2010,GALICIA,46890,6583,Blue
2010,GALICIA,14587,2084,Blue
2010,GALICIA,47640,3336,Blue
2010,GALICIA,26620,4985,Blue
2010,GALICIA,52620,4462,Blue
2010,GALICIA,4355,1139,Blue
2010,COMUNIDAD VALENCIANA,34539,1683,Blue
2010,GALICIA,12200,3250,Blue
2010,GALICIA,5420,3583,Blue
2010,GALICIA,238520,14213,Blue
2010,GALICIA,33150,9177,Blue
2010,GALICIA,3842,2955,Blue
2010,GALICIA,7080,1846,Blue
2010,GALICIA,13700,4415,Blue
2010,GALICIA,182432,12091,Blue
2010,GALICIA,26831,3833,Blue
2010,GALICIA,6216,2407,Blue
2010,GALICIA,64600,5821,Blue
2010,GALICIA,5453020,246056,Blue
2010,GALICIA,2645680,161094,Blue
2010,CANARIAS,106990,10892,Blue
2010,CANARIAS,222720,19154,Blue
2010,CANARIAS,2160,9067,Blue
2010,CANARIAS,1412720,100015,Blue
2010,CANARIAS,147320,17662,Blue
2010,CANARIAS,2374898,121880,Blue
2010,CANARIAS,60570,36270,Blue
2010,CANARIAS,39690,7850,Blue
2010,CANARIAS,849750,78614,Blue
2010,CANARIAS,482750,63963,Blue
2010,CANARIAS,76500,17387,Blue
2010,CANARIAS,77841,7636,Blue
2010,CANARIAS,15510,2774,Blue
2010,CANARIAS,80810,8965,Blue
2010,CANARIAS,1685046,150661,Blue
2010,CANARIAS,162230,20536,Blue
2010,CANARIAS,408510,32219,Blue
2010,CANARIAS,218510,24319,Blue
2010,MADRID,3284505,90280,Blue
2010,CANARIAS,962700,36009,Blue
2010,CANARIAS,399850,43204,Blue
2010,CANARIAS,4241584,103167,Blue
2010,CANARIAS,366040,39993,Blue
2010,CANARIAS,178540,24024,Blue
2010,CANARIAS,916615,86996,Blue
2010,CANARIAS,152350,17182,Blue
2010,CANARIAS,110460,16179,Blue
2010,CANARIAS,384322,41171,Blue
2010,CANARIAS,326360,37559,Blue
2010,CANARIAS,85880,12050,Blue
2010,CANARIAS,2357625,222416,Blue
2010,CANARIAS,1017540,141938,Blue
2010,PAIS VASCO,2511800,69184,Blue
2010,PAIS VASCO,8577810,235661,Blue
2010,PAIS VASCO,688083,16732,Blue
2010,MADRID,3377200,118162,Blue
2010,PAIS VASCO,2017001,59815,Blue
2010,PAIS VASCO,2911952,80770,Blue
2010,PAIS VASCO,709070,14375,Blue
2010,PAIS VASCO,1591283,72353,Blue
2010,MADRID,651000,40981,Blue
2010,PAIS VASCO,2127316,41524,Blue
2010,PAIS VASCO,3027922,77409,Blue
2010,PAIS VASCO,12338396,284439,Blue
2010,PAIS VASCO,13116670,354860,Blue
2010,PAIS VASCO,585510,23958,Blue
2010,PAIS VASCO,1364386,48105,Blue
2010,PAIS VASCO,569658,16937,Blue
2010,PAIS VASCO,995817,25176,Blue
2010,PAIS VASCO,566319,17842,Blue
2010,PAIS VASCO,40890,1933,Blue
2010,MADRID,433186,22488,Blue
2010,PAIS VASCO,341980,9171,Blue
2010,PAIS VASCO,2742030,78158,Blue
2010,PAIS VASCO,1070550,30079,Blue
2010,PAIS VASCO,1285048,34464,Blue
2010,PAIS VASCO,31138,898,Blue
2010,PAIS VASCO,705548,29226,Blue
2010,PAIS VASCO,2950,382,Blue
2010,PAIS VASCO,18250,1082,Blue
2010,PAIS VASCO,46928,1746,Blue
2010,MADRID,172587,6168,Blue
2010,PAIS VASCO,1500,423,Blue
2010,PAIS VASCO,609932,13341,Blue
2010,PAIS VASCO,6648,258,Blue
2010,PAIS VASCO,198317,7216,Blue
2010,PAIS VASCO,17880,616,Blue
2010,PAIS VASCO,754310,29476,Blue
2010,PAIS VASCO,80153,1382,Blue
2010,PAIS VASCO,170144,8520,Blue
2010,PAIS VASCO,24750,1559,Blue
2010,PAIS VASCO,14920,16244,Blue
2010,MADRID,2975940,204574,Blue
2010,PAIS VASCO,6590,1504,Blue
2010,PAIS VASCO,189800,7270,Blue
2010,PAIS VASCO,182370,4888,Blue
2010,PAIS VASCO,9605,412,Blue
2010,PAIS VASCO,9600,375,Blue
2010,PAIS VASCO,116590,2835,Blue
2010,PAIS VASCO,116170,4220,Blue
2010,PAIS VASCO,654480,28229,Blue
2010,PAIS VASCO,480090,24262,Blue
2010,PAIS VASCO,1699072,42657,Blue
2010,MADRID,173675,6445,Blue
2010,PAIS VASCO,1234100,23864,Blue
2010,PAIS VASCO,4590,513,Blue
2010,PAIS VASCO,251489,9647,Blue
2010,PAIS VASCO,10250,445,Blue
2010,PAIS VASCO,14260,350,Blue
2010,PAIS VASCO,57950,16209,Blue
2010,PAIS VASCO,1197090,19675,Blue
2010,PAIS VASCO,2378738,98460,Blue
2010,PAIS VASCO,18505,678,Blue
2010,PAIS VASCO,4850,875,Blue
2010,MADRID,194097,8792,Blue
2010,PAIS VASCO,19380,905,Blue
2010,PAIS VASCO,6670,409,Blue
2010,PAIS VASCO,2490,2313,Blue
2010,PAIS VASCO,378386,12435,Blue
2010,PAIS VASCO,3720,551,Blue
2010,EXTREMADURA,489366,142752,Blue
2010,COMUNIDAD VALENCIANA,144145,28308,Blue
2010,MADRID,30530,2074,Blue
2010,EXTREMADURA,155640,35791,Blue
2010,COMUNIDAD VALENCIANA,59667,9471,Blue
2010,COMUNIDAD VALENCIANA,31005,25838,Blue
2010,EXTREMADURA,230600,15055,Blue
2010,EXTREMADURA,137340,12896,Blue
2010,EXTREMADURA,461880,41148,Blue
2010,COMUNIDAD VALENCIANA,33890,5379,Blue
2010,MADRID,1256143,41064,Blue
2010,CANARIAS,113810,10666,Blue
2010,REGION DE MURCIA,206340,19860,Blue
2010,REGION DE MURCIA,298055,29211,Blue
2010,REGION DE MURCIA,822248,64065,Blue
2010,REGION DE MURCIA,255700,15319,Blue
2010,REGION DE MURCIA,240460,25685,Blue
2010,REGION DE MURCIA,361800,31432,Blue
2010,REGION DE MURCIA,3464800,211996,Blue
2010,REGION DE MURCIA,135300,13947,Blue
2010,REGION DE MURCIA,193310,35200,Blue
2010,MADRID,233668,12419,Blue
2010,REGION DE MURCIA,283840,12991,Blue
2010,REGION DE MURCIA,7160510,436870,Blue
2010,REGION DE MURCIA,297390,31495,Blue
2010,REGION DE MURCIA,114912,18202,Blue
2010,REGION DE MURCIA,31060,17737,Blue
2010,REGION DE MURCIA,326720,41084,Blue
2010,REGION DE MURCIA,558730,35025,Blue
2010,REGION DE MURCIA,279920,6370,Blue
2010,REGION DE MURCIA,111370,14876,Blue
2010,REGION DE MURCIA,279520,26415,Blue
2010,MADRID,123950,7776,Blue
2010,REGION DE MURCIA,157680,8455,Blue
2010,ARAGON,207680,7587,Blue
2010,ARAGON,315860,31610,Blue
2010,REGION DE MURCIA,982655,91906,Blue
2010,MADRID,139326,6985,Blue
2010,MADRID,152400,2457,Blue
2010,COMUNIDAD VALENCIANA,16933,301,Blue
2010,MADRID,756225,43700,Blue
2010,COMUNIDAD VALENCIANA,473060,31760,Blue
2010,COMUNIDAD VALENCIANA,34209,1028,Blue
2010,COMUNIDAD VALENCIANA,724760,38433,Blue
2010,COMUNIDAD VALENCIANA,445500,33797,Blue
2010,COMUNIDAD VALENCIANA,187301,66070,Blue
2010,COMUNIDAD VALENCIANA,47243,1474,Blue
2010,COMUNIDAD VALENCIANA,118190,8968,Blue
2010,MADRID,98716,5947,Blue
2010,COMUNIDAD VALENCIANA,207563,10395,Blue
2010,COMUNIDAD VALENCIANA,140311,4178,Blue
2010,COMUNIDAD VALENCIANA,130120,5399,Blue
2010,COMUNIDAD VALENCIANA,10695,153,Blue
2010,COMUNIDAD VALENCIANA,973206,80020,Blue
2010,COMUNIDAD VALENCIANA,60606,1492,Blue
2010,COMUNIDAD VALENCIANA,104233,1887,Blue
2010,COMUNIDAD VALENCIANA,130889,7771,Blue
2010,MADRID,88760,7857,Blue
2010,COMUNIDAD VALENCIANA,8897,664,Blue
2010,COMUNIDAD VALENCIANA,165620,21011,Blue
2010,COMUNIDAD VALENCIANA,351000,23780,Blue
2010,COMUNIDAD VALENCIANA,40100,490,Blue
2010,COMUNIDAD VALENCIANA,1488136,44464,Blue
2010,COMUNIDAD VALENCIANA,73262,6640,Blue
2010,MADRID,193565,8923,Blue
2010,COMUNIDAD VALENCIANA,9966,873,Blue
2010,COMUNIDAD VALENCIANA,134150,9913,Blue
2010,COMUNIDAD VALENCIANA,109085,5569,Blue
2010,COMUNIDAD VALENCIANA,656620,14620,Blue
2010,COMUNIDAD VALENCIANA,385860,86164,Blue
2010,COMUNIDAD VALENCIANA,39494,5025,Blue
2010,MADRID,6773620,197836,Blue
2010,COMUNIDAD VALENCIANA,1667,554,Blue
2010,COMUNIDAD VALENCIANA,183754,12204,Blue
2010,MADRID,1756562,115611,Blue
2010,COMUNIDAD VALENCIANA,135400,11378,Blue
2010,COMUNIDAD VALENCIANA,100143,7516,Blue
2010,COMUNIDAD VALENCIANA,39543,2951,Blue
2010,COMUNIDAD VALENCIANA,1674280,61552,Blue
2010,MADRID,62896211,3255944,Blue
2010,COMUNIDAD VALENCIANA,1404060,101792,Blue
2010,COMUNIDAD VALENCIANA,4150,513,Blue
2010,COMUNIDAD VALENCIANA,328200,16552,Blue
2010,COMUNIDAD VALENCIANA,16802,1340,Blue
2010,COMUNIDAD VALENCIANA,193350,24963,Blue
2010,COMUNIDAD VALENCIANA,286690,32924,Blue
2010,COMUNIDAD VALENCIANA,28566,2052,Blue
2010,COMUNIDAD VALENCIANA,47970,4541,Blue
2010,MADRID,106466,4499,Blue
2010,COMUNIDAD VALENCIANA,5128,838,Blue
2010,COMUNIDAD VALENCIANA,35930,17924,Blue
2010,COMUNIDAD VALENCIANA,47362,4639,Blue
2010,COMUNIDAD VALENCIANA,89239,2822,Blue
2010,COMUNIDAD VALENCIANA,10989,1427,Blue
2010,COMUNIDAD VALENCIANA,414012,35222,Blue
2010,COMUNIDAD VALENCIANA,316030,21939,Blue
2010,MADRID,192178,7244,Blue
2010,COMUNIDAD VALENCIANA,10961,818,Blue
2010,COMUNIDAD VALENCIANA,393420,16329,Blue
2010,COMUNIDAD VALENCIANA,125620,9445,Blue
2010,PAIS VASCO,37440,909,Blue
2010,CASTILLA Y LEON,1171221,56855,Blue
2010,MADRID,1097522,43501,Blue
2010,CANARIAS,233540,21690,Blue
2010,EXTREMADURA,55100,5367,Blue
2010,ANDALUCIA,872494,88594,Blue
2010,COMUNIDAD VALENCIANA,194160,17874,Blue
2010,COMUNIDAD VALENCIANA,206384,7926,Blue
2010,COMUNIDAD VALENCIANA,92450,6291,Blue
2010,COMUNIDAD VALENCIANA,36438,3235,Blue
2010,COMUNIDAD VALENCIANA,29260,8745,Blue
2010,CATALUÑA,1980345,58744,Blue
2010,CATALUÑA,1968688,81724,Blue
2010,CATALUÑA,2255205,115843,Blue
2010,CATALUÑA,958495,48974,Blue
2010,CATALUÑA,1693680,78753,Blue
2010,CATALUÑA,1145800,41744,Blue
2010,CATALUÑA,124060,3630,Blue
2010,MADRID,178061,8294,Blue
2010,CATALUÑA,917411,18656,Blue
2010,CATALUÑA,705904,21502,Blue
2010,CATALUÑA,698060,21855,Blue
2010,CATALUÑA,329880,20479,Blue
2010,CATALUÑA,2073260,55339,Blue
2010,CATALUÑA,235340,5253,Blue
2010,CATALUÑA,1185892,34915,Blue
2010,CATALUÑA,3694339,96188,Blue
2010,CATALUÑA,2367390,83554,Blue
2010,MADRID,1365624,68405,Blue
2010,CATALUÑA,729650,38918,Blue
2010,CATALUÑA,2808610,135919,Blue
2010,CATALUÑA,1142410,31296,Blue
2010,CATALUÑA,5561398,200917,Blue
2010,CATALUÑA,884880,16784,Blue
2010,CATALUÑA,3018014,139806,Blue
2010,CATALUÑA,3699431,176373,Blue
2010,CATALUÑA,1020149,74566,Blue
2010,CATALUÑA,1022638,65843,Blue
2010,CATALUÑA,591790,22825,Blue
2010,CATALUÑA,452480,18462,Blue
2010,CATALUÑA,7387937,206493,Blue
2010,CATALUÑA,868714,72987,Blue
2010,CATALUÑA,1102465,26821,Blue
2010,CATALUÑA,7010133,121647,Blue
2010,CATALUÑA,864920,26681,Blue
2010,CATALUÑA,2338270,121722,Blue
2010,CATALUÑA,2042020,72189,Blue
2010,CATALUÑA,698842,40213,Blue
2010,CATALUÑA,385080,7625,Blue
2010,MADRID,316552,12797,Blue
2010,CATALUÑA,1091666,30153,Blue
2010,CATALUÑA,661480,22725,Blue
2010,CATALUÑA,2128451,107118,Blue
2010,CATALUÑA,2378577,43792,Blue
2010,CATALUÑA,1787281,61869,Blue
2010,CATALUÑA,492660,13759,Blue
2010,CATALUÑA,3411791,140323,Blue
2010,CATALUÑA,1287695,52353,Blue
2010,CATALUÑA,6855074,210941,Blue
2010,CATALUÑA,787610,36670,Blue
2010,MADRID,736380,51489,Blue
2010,CATALUÑA,8837137,369287,Blue
2010,CATALUÑA,609800,20866,Blue
2010,CATALUÑA,319022,11553,Blue
2010,CATALUÑA,385850,10295,Blue
2010,CATALUÑA,494230,13840,Blue
2010,BALEARES,11996662,401270,Blue
2010,BALEARES,5005030,93915,Blue
2010,BALEARES,12401986,409353,Blue
2010,BALEARES,2194608,48684,Blue
2010,MADRID,105494,5083,Blue
2010,BALEARES,896230,22171,Blue
2010,BALEARES,536071,21852,Blue
2010,BALEARES,1680000,31314,Blue
2010,BALEARES,90520,5541,Blue
2010,BALEARES,843820,9552,Blue
2010,EXTREMADURA,58010,2766,Blue
2010,EXTREMADURA,164761,7836,Blue
2010,CANARIAS,8560,1854,Blue
2010,EXTREMADURA,160420,8193,Blue
2010,EXTREMADURA,247900,9822,Blue
2010,MADRID,3991846,167164,Blue
2010,COMUNIDAD VALENCIANA,60179,3968,Blue
2010,COMUNIDAD VALENCIANA,54475,5902,Blue
2010,COMUNIDAD VALENCIANA,316246,18098,Blue
2010,COMUNIDAD VALENCIANA,123810,9103,Blue
2010,COMUNIDAD VALENCIANA,43440,3148,Blue
2010,EXTREMADURA,582337,30728,Blue
2010,COMUNIDAD VALENCIANA,5980,1275,Blue
2010,COMUNIDAD VALENCIANA,2422368,180005,Blue
2010,COMUNIDAD VALENCIANA,48090,3288,Blue
2010,MADRID,241911,18256,Blue
2010,COMUNIDAD VALENCIANA,24708,1876,Blue
2010,COMUNIDAD VALENCIANA,24166,2224,Blue
2010,COMUNIDAD VALENCIANA,53030,5902,Blue
2010,MADRID,185918,6413,Blue
2010,COMUNIDAD VALENCIANA,2980,549,Blue
2010,COMUNIDAD VALENCIANA,6844,1079,Blue
2010,CANARIAS,41310,5502,Blue
2010,CANARIAS,3827946,381847,Blue
2010,MADRID,1127310,54055,Blue
2010,CEUTA,1317613,78674,Blue
2010,CATALUÑA,588645,25092,Blue
2010,GALICIA,1450900,85577,Blue
2010,MADRID,130863,7023,Blue
2010,COMUNIDAD VALENCIANA,8040,1969,Blue
2010,COMUNIDAD VALENCIANA,263455,34565,Blue
2010,COMUNIDAD VALENCIANA,185237,14167,Blue
2010,COMUNIDAD VALENCIANA,26022,1942,Blue
2010,MADRID,192075,9387,Blue
2010,COMUNIDAD VALENCIANA,9265,1106,Blue
2010,COMUNIDAD VALENCIANA,282260,22706,Blue
2010,COMUNIDAD VALENCIANA,24200,1806,Blue
2010,COMUNIDAD VALENCIANA,72000,6163,Blue
2010,MADRID,141669,6473,Blue
2010,COMUNIDAD VALENCIANA,12074,2199,Blue
2010,COMUNIDAD VALENCIANA,856470,74458,Blue
2010,MADRID,41676,1466,Blue
2010,ANDALUCIA,2673454,234880,Blue
2010,MADRID,1685915,55027,Blue
2010,ARAGON,583943,15621,Blue
2010,EXTREMADURA,65320,6178,Blue
2010,MADRID,269500,13835,Blue
2010,EXTREMADURA,47460,2804,Blue
2010,EXTREMADURA,67680,6517,Blue
2010,EXTREMADURA,1566620,93131,Blue
2010,EXTREMADURA,50900,4879,Blue
2010,EXTREMADURA,104470,10338,Blue
2010,EXTREMADURA,75030,4627,Blue
2010,EXTREMADURA,284190,25690,Blue
2010,MADRID,296150,14979,Blue
2010,EXTREMADURA,314150,28197,Blue
2010,EXTREMADURA,130568,17228,Blue
